Company,Job title,Location,Graduation year,Degree,Branch,Experience requirement,Skills,Job description
Dell Technologies India,Program Manager,Visakhapatnam,2016,B.Tech,General Management,0-2 Years,"Wireframing, Stakeholder Management, SQL","Dell Technologies India is expanding its Visakhapatnam team and seeking a Program Manager. A B.Tech in General Management is required along with working knowledge of Wireframing, Stakeholder Management, SQL. Experience: 0-2 Years."
Nokia India,Content Writer,Patna,2023,BCA,Fine Arts,8-12 Years,"Content Writing, Figma, Illustrator, SEO Writing, Adobe Photoshop","Exciting opportunity for a Content Writer at Nokia India (Patna). Applicants must be BCA graduates in Fine Arts, comfortable with Content Writing, Figma, Illustrator, SEO Writing, Adobe Photoshop, and have 8-12 Years of industry experience."
Hexaware Technologies,Plant Engineer,Visakhapatnam,2025,M.Tech,Petrochemical Engineering,Fresher,"Process Design, Aspen Plus, Plant Operations","Hexaware Technologies is expanding its Visakhapatnam team and seeking a Plant Engineer. A M.Tech in Petrochemical Engineering is required along with working knowledge of Process Design, Aspen Plus, Plant Operations. Experience: Fresher."
Honeywell India,Software Developer,Multiple Locations,2016,B.E.,Electronics and Communication,7-10 Years,"JavaScript, MySQL, MongoDB, HTML/CSS","We are looking for a passionate Software Developer to join Honeywell India in Multiple Locations. Candidates should hold a B.E. (Electronics and Communication) and be skilled in JavaScript, MySQL, MongoDB, HTML/CSS. Experience level: 7-10 Years."
EXL Service,Design Engineer,Pune,2019,Diploma,Automobile Engineering,1-2 Years,"Lean Manufacturing, Product Design, Ansys, SolidWorks","EXL Service is expanding its Pune team and seeking a Design Engineer. A Diploma in Automobile Engineering is required along with working knowledge of Lean Manufacturing, Product Design, Ansys, SolidWorks. Experience: 1-2 Years."
Ericsson India,Cloud Architect,Delhi NCR,2018,B.Tech,Information Technology,2-4 Years,"CI/CD, Azure, Ansible, GCP, Jenkins","Ericsson India has an opening for a Cloud Architect based in Delhi NCR. The ideal candidate is a B.Tech graduate in Information Technology with proficiency in CI/CD, Azure, Ansible, GCP, Jenkins. Required experience: 2-4 Years."
Max Healthcare,QA Lead,Jaipur,2018,BCA,Computer Science,2-3 Years,"JIRA, Automation Testing, Test Case Design, TestNG","Max Healthcare has an opening for a QA Lead based in Jaipur. The ideal candidate is a BCA graduate in Computer Science with proficiency in JIRA, Automation Testing, Test Case Design, TestNG. Required experience: 2-3 Years."
Divi's Laboratories,System Administrator,Visakhapatnam,2021,MCA,Information Technology,1-3 Years,"AWS, Docker, GCP","Exciting opportunity for a System Administrator at Divi's Laboratories (Visakhapatnam). Applicants must be MCA graduates in Information Technology, comfortable with AWS, Docker, GCP, and have 1-3 Years of industry experience."
Zepto,Business Development Executive,Bhopal,2017,PGDM,Marketing Management,0-1 Years,"SEO, SEM, Content Marketing","Zepto has an opening for a Business Development Executive based in Bhopal. The ideal candidate is a PGDM graduate in Marketing Management with proficiency in SEO, SEM, Content Marketing. Required experience: 0-1 Years."
Genpact,Embedded Systems Engineer,Whitefield Bangalore,2022,B.Tech,Electrical Engineering,4-6 Years,"PLC, PCB Design, SCADA, Embedded C, Circuit Design","Join Genpact as a Embedded Systems Engineer in Whitefield Bangalore! We need someone with a B.Tech in Electrical Engineering, strong command of PLC, PCB Design, SCADA, Embedded C, Circuit Design, and 4-6 Years of relevant experience."
Crompton Greaves,AI Engineer,Pune,2022,M.Sc,Data Science,2-3 Years,"Machine Learning, Pandas, Tableau, Big Data, Python","Crompton Greaves is hiring a AI Engineer for its Pune office. The role calls for a M.Sc in Data Science and hands-on knowledge of Machine Learning, Pandas, Tableau, Big Data, Python. Experience required: 2-3 Years."
Honeywell India,Planning Engineer,Ranchi,2017,B.Tech,Civil Engineering,2-4 Years,"Surveying, Primavera, Site Supervision, AutoCAD, MS Project","Exciting opportunity for a Planning Engineer at Honeywell India (Ranchi). Applicants must be B.Tech graduates in Civil Engineering, comfortable with Surveying, Primavera, Site Supervision, AutoCAD, MS Project, and have 2-4 Years of industry experience."
Wabco India,Learning & Development Executive,Amaravati,2020,B.Com,HR Management,5-8 Years,"Employee Engagement, HR Policies, Payroll, Talent Management, HRMS","Exciting opportunity for a Learning & Development Executive at Wabco India (Amaravati). Applicants must be B.Com graduates in HR Management, comfortable with Employee Engagement, HR Policies, Payroll, Talent Management, HRMS, and have 5-8 Years of industry experience."
Schneider Electric India,CAD Engineer,Lucknow,2026,B.Tech,Industrial Engineering,8-12 Years,"CNC Programming, Six Sigma, Lean Manufacturing","Schneider Electric India is hiring a CAD Engineer for its Lucknow office. The role calls for a B.Tech in Industrial Engineering and hands-on knowledge of CNC Programming, Six Sigma, Lean Manufacturing. Experience required: 8-12 Years."
Honeywell India,Network Administrator,Whitefield Bangalore,2021,BCA,Electronics and Communication,0-2 Years,"Windows Server, Networking, VPN, CCNA","Exciting opportunity for a Network Administrator at Honeywell India (Whitefield Bangalore). Applicants must be BCA graduates in Electronics and Communication, comfortable with Windows Server, Networking, VPN, CCNA, and have 0-2 Years of industry experience."
Adani Group,Recruiter,Noida Sector 62,2026,B.Com,General Management,7-10 Years,"Onboarding, Performance Management, HR Policies","Adani Group has an opening for a Recruiter based in Noida Sector 62. The ideal candidate is a B.Com graduate in General Management with proficiency in Onboarding, Performance Management, HR Policies. Required experience: 7-10 Years."
JSW Steel,Business Intelligence Analyst,Coimbatore,2019,M.Tech,Mathematics,7-10 Years,"R, TensorFlow, Python, Power BI, Machine Learning","We are looking for a passionate Business Intelligence Analyst to join JSW Steel in Coimbatore. Candidates should hold a M.Tech (Mathematics) and be skilled in R, TensorFlow, Python, Power BI, Machine Learning. Experience level: 7-10 Years."
Vishal Mega Mart,Credit Analyst,Amaravati,2020,CA,Commerce,8-12 Years,"Accounting Standards, Financial Modeling, GST, Auditing","Vishal Mega Mart is hiring a Credit Analyst for its Amaravati office. The role calls for a CA in Commerce and hands-on knowledge of Accounting Standards, Financial Modeling, GST, Auditing. Experience required: 8-12 Years."
IBM India,Software Engineer,Vadodara,2022,B.E.,Information Technology,1-2 Years,"MongoDB, TypeScript, React","Exciting opportunity for a Software Engineer at IBM India (Vadodara). Applicants must be B.E. graduates in Information Technology, comfortable with MongoDB, TypeScript, React, and have 1-2 Years of industry experience."
Boston Consulting Group,CAD Engineer,Lucknow,2018,B.E.,Mechanical Engineering,1-3 Years,"CNC Programming, PLM, AutoCAD","Join Boston Consulting Group as a CAD Engineer in Lucknow! We need someone with a B.E. in Mechanical Engineering, strong command of CNC Programming, PLM, AutoCAD, and 1-3 Years of relevant experience."
Nykaa,Maintenance Engineer,Lucknow,2021,Diploma,Production Engineering,3-5 Years,"CNC Programming, Product Design, Ansys, CATIA","Nykaa is expanding its Lucknow team and seeking a Maintenance Engineer. A Diploma in Production Engineering is required along with working knowledge of CNC Programming, Product Design, Ansys, CATIA. Experience: 3-5 Years."
ONGC,R&D Engineer,Gandhinagar,2025,B.E.,Industrial Engineering,1-2 Years,"Product Design, GD&T, Ansys, SolidWorks","We are looking for a passionate R&D Engineer to join ONGC in Gandhinagar. Candidates should hold a B.E. (Industrial Engineering) and be skilled in Product Design, GD&T, Ansys, SolidWorks. Experience level: 1-2 Years."
Coforge,Project Engineer,Mohali,2025,B.E.,Structural Engineering,Fresher,"AutoCAD, STAAD Pro, Surveying","Coforge is hiring a Project Engineer for its Mohali office. The role calls for a B.E. in Structural Engineering and hands-on knowledge of AutoCAD, STAAD Pro, Surveying. Experience required: Fresher."
Upstox,Test Engineer,Delhi NCR,2026,B.E.,Information Technology,5-8 Years,"JIRA, Manual Testing, Test Case Design, JUnit","Exciting opportunity for a Test Engineer at Upstox (Delhi NCR). Applicants must be B.E. graduates in Information Technology, comfortable with JIRA, Manual Testing, Test Case Design, JUnit, and have 5-8 Years of industry experience."
Lenskart,Mechanical Engineer,Visakhapatnam,2025,M.Tech,Automobile Engineering,5-7 Years,"Ansys, GD&T, SolidWorks, AutoCAD","We are looking for a passionate Mechanical Engineer to join Lenskart in Visakhapatnam. Candidates should hold a M.Tech (Automobile Engineering) and be skilled in Ansys, GD&T, SolidWorks, AutoCAD. Experience level: 5-7 Years."
LG Electronics India,Plant Engineer,Mangalore,2016,M.Tech,Petrochemical Engineering,0-1 Years,"Plant Operations, Aspen Plus, Process Design, Six Sigma","Exciting opportunity for a Plant Engineer at LG Electronics India (Mangalore). Applicants must be M.Tech graduates in Petrochemical Engineering, comfortable with Plant Operations, Aspen Plus, Process Design, Six Sigma, and have 0-1 Years of industry experience."
Freshworks,Process Engineer,Kolkata,2025,B.Tech,Chemical Engineering,Fresher,"Quality Control, Six Sigma, Process Optimization","We are looking for a passionate Process Engineer to join Freshworks in Kolkata. Candidates should hold a B.Tech (Chemical Engineering) and be skilled in Quality Control, Six Sigma, Process Optimization. Experience level: Fresher."
Intel India,Accounts Manager,Chennai,2020,MBA,Commerce,1-3 Years,"GST, SAP, Budgeting, Financial Reporting, Excel","Exciting opportunity for a Accounts Manager at Intel India (Chennai). Applicants must be MBA graduates in Commerce, comfortable with GST, SAP, Budgeting, Financial Reporting, Excel, and have 1-3 Years of industry experience."
Reliance Retail,Project Engineer,Mangalore,2019,Diploma,Structural Engineering,10+ Years,"AutoCAD, Revit, Surveying, MS Project, Project Management","Reliance Retail is hiring a Project Engineer for its Mangalore office. The role calls for a Diploma in Structural Engineering and hands-on knowledge of AutoCAD, Revit, Surveying, MS Project, Project Management. Experience required: 10+ Years."
Cognizant,Cybersecurity Analyst,Kolkata,2024,BCA,Information Technology,10+ Years,"Firewalls, Networking, VPN","We are looking for a passionate Cybersecurity Analyst to join Cognizant in Kolkata. Candidates should hold a BCA (Information Technology) and be skilled in Firewalls, Networking, VPN. Experience level: 10+ Years."
Bajaj Auto,System Administrator,Gurgaon,2022,M.Tech,Computer Science,2-4 Years,"CI/CD, Ansible, GCP","Join Bajaj Auto as a System Administrator in Gurgaon! We need someone with a M.Tech in Computer Science, strong command of CI/CD, Ansible, GCP, and 2-4 Years of relevant experience."
Apollo Hospitals,QA Lead,Delhi NCR,2026,BCA,Computer Science,2-3 Years,"API Testing, Selenium, JIRA, Automation Testing","Join Apollo Hospitals as a QA Lead in Delhi NCR! We need someone with a BCA in Computer Science, strong command of API Testing, Selenium, JIRA, Automation Testing, and 2-3 Years of relevant experience."
ABB India,Business Intelligence Analyst,Mohali,2021,B.Tech,Data Science,Fresher,"Python, R, Power BI, Pandas, PyTorch","Exciting opportunity for a Business Intelligence Analyst at ABB India (Mohali). Applicants must be B.Tech graduates in Data Science, comfortable with Python, R, Power BI, Pandas, PyTorch, and have Fresher of industry experience."
Shree Cement,Test Engineer,Coimbatore,2023,B.Tech,Computer Science,4-6 Years,"Load Testing, Selenium, API Testing","We are looking for a passionate Test Engineer to join Shree Cement in Coimbatore. Candidates should hold a B.Tech (Computer Science) and be skilled in Load Testing, Selenium, API Testing. Experience level: 4-6 Years."
Myntra,Learning & Development Executive,Chennai,2024,BBA,General Management,5-7 Years,"Employee Engagement, Communication, Talent Management, HRMS","We are looking for a passionate Learning & Development Executive to join Myntra in Chennai. Candidates should hold a BBA (General Management) and be skilled in Employee Engagement, Communication, Talent Management, HRMS. Experience level: 5-7 Years."
ITC Limited,Graphic Designer,Vijayawada,2020,B.Des,General,5-7 Years,"Adobe XD, Sketch, Prototyping, Wireframing, SEO Writing","ITC Limited has an opening for a Graphic Designer based in Vijayawada. The ideal candidate is a B.Des graduate in General with proficiency in Adobe XD, Sketch, Prototyping, Wireframing, SEO Writing. Required experience: 5-7 Years."
Ashok Leyland,Automation Test Engineer,Guwahati,2023,BCA,Computer Science,0-2 Years,"Manual Testing, Automation Testing, Selenium","We are looking for a passionate Automation Test Engineer to join Ashok Leyland in Guwahati. Candidates should hold a BCA (Computer Science) and be skilled in Manual Testing, Automation Testing, Selenium. Experience level: 0-2 Years."
Ambuja Cements,Production Chemist,Indore,2022,M.Tech,Petrochemical Engineering,1-2 Years,"Process Optimization, Six Sigma, Plant Operations, Safety Management, Process Design","We are looking for a passionate Production Chemist to join Ambuja Cements in Indore. Candidates should hold a M.Tech (Petrochemical Engineering) and be skilled in Process Optimization, Six Sigma, Plant Operations, Safety Management, Process Design. Experience level: 1-2 Years."
Practo Technologies,Instrumentation Engineer,Remote,2022,Diploma,Electrical and Electronics,3-5 Years,"SCADA, Embedded C, Power Systems, PLC","Join Practo Technologies as a Instrumentation Engineer in Remote! We need someone with a Diploma in Electrical and Electronics, strong command of SCADA, Embedded C, Power Systems, PLC, and 3-5 Years of relevant experience."
IndusInd Bank,Project Engineer,Pune,2026,M.Tech,Structural Engineering,1-2 Years,"MS Project, Estimation & Costing, Site Supervision, Revit","Exciting opportunity for a Project Engineer at IndusInd Bank (Pune). Applicants must be M.Tech graduates in Structural Engineering, comfortable with MS Project, Estimation & Costing, Site Supervision, Revit, and have 1-2 Years of industry experience."
Titan Company,Maintenance Engineer,Indore,2016,B.Tech,Automobile Engineering,1-3 Years,"SolidWorks, PLM, Ansys","Titan Company is hiring a Maintenance Engineer for its Indore office. The role calls for a B.Tech in Automobile Engineering and hands-on knowledge of SolidWorks, PLM, Ansys. Experience required: 1-3 Years."
Intellect Design Arena,Customer Support Executive,Mangalore,2021,B.Com,General,Fresher,"Communication, Customer Service, Problem Solving","We are looking for a passionate Customer Support Executive to join Intellect Design Arena in Mangalore. Candidates should hold a B.Com (General) and be skilled in Communication, Customer Service, Problem Solving. Experience level: Fresher."
Rivigo,Production Engineer,Chandigarh,2017,M.Tech,Industrial Engineering,4-6 Years,"GD&T, CATIA, PLM, Six Sigma","Rivigo is expanding its Chandigarh team and seeking a Production Engineer. A M.Tech in Industrial Engineering is required along with working knowledge of GD&T, CATIA, PLM, Six Sigma. Experience: 4-6 Years."
Lenskart,Chemical Engineer,Chennai,2022,B.E.,Petrochemical Engineering,4-6 Years,"Safety Management, Process Design, Six Sigma, Plant Operations","We are looking for a passionate Chemical Engineer to join Lenskart in Chennai. Candidates should hold a B.E. (Petrochemical Engineering) and be skilled in Safety Management, Process Design, Six Sigma, Plant Operations. Experience level: 4-6 Years."
Blue Star Limited,Process Associate,Mangalore,2024,BBA,Arts,8-12 Years,"Time Management, MS Office, Email Etiquette","Blue Star Limited has an opening for a Process Associate based in Mangalore. The ideal candidate is a BBA graduate in Arts with proficiency in Time Management, MS Office, Email Etiquette. Required experience: 8-12 Years."
Wabco India,Accountant,Kolkata,2026,B.Com,Commerce,10+ Years,"Accounting Standards, SAP, Excel, Taxation","Exciting opportunity for a Accountant at Wabco India (Kolkata). Applicants must be B.Com graduates in Commerce, comfortable with Accounting Standards, SAP, Excel, Taxation, and have 10+ Years of industry experience."
Fortis Healthcare,Java Developer,Indore,2021,BCA,Electronics and Communication,2-3 Years,"Microservices, JavaScript, Java","Join Fortis Healthcare as a Java Developer in Indore! We need someone with a BCA in Electronics and Communication, strong command of Microservices, JavaScript, Java, and 2-3 Years of relevant experience."
Practo Technologies,Business Development Executive,Gurgaon,2022,MBA,Sales,1-3 Years,"Social Media Marketing, Google Ads, SEO","Practo Technologies is expanding its Gurgaon team and seeking a Business Development Executive. A MBA in Sales is required along with working knowledge of Social Media Marketing, Google Ads, SEO. Experience: 1-3 Years."
Urban Company,Cybersecurity Analyst,Thiruvananthapuram,2024,B.E.,Computer Science,10+ Years,"Windows Server, Firewalls, Networking, Troubleshooting, TCP/IP","Urban Company has an opening for a Cybersecurity Analyst based in Thiruvananthapuram. The ideal candidate is a B.E. graduate in Computer Science with proficiency in Windows Server, Firewalls, Networking, Troubleshooting, TCP/IP. Required experience: 10+ Years."
HDFC Bank,QA Engineer,Hinjewadi Pune,2025,B.E.,Computer Science,4-6 Years,"Test Case Design, Selenium, API Testing, JIRA, JUnit","HDFC Bank is hiring a QA Engineer for its Hinjewadi Pune office. The role calls for a B.E. in Computer Science and hands-on knowledge of Test Case Design, Selenium, API Testing, JIRA, JUnit. Experience required: 4-6 Years."
Power Grid Corporation,HR Manager,Lucknow,2017,BBA,HR Management,5-7 Years,"Payroll, Onboarding, Talent Management","We are looking for a passionate HR Manager to join Power Grid Corporation in Lucknow. Candidates should hold a BBA (HR Management) and be skilled in Payroll, Onboarding, Talent Management. Experience level: 5-7 Years."
Maruti Suzuki,Plant Engineer,Bangalore / Hyderabad,2017,M.Tech,Petrochemical Engineering,5-7 Years,"Process Optimization, Six Sigma, Safety Management, Quality Control, Aspen Plus","Maruti Suzuki is expanding its Bangalore / Hyderabad team and seeking a Plant Engineer. A M.Tech in Petrochemical Engineering is required along with working knowledge of Process Optimization, Six Sigma, Safety Management, Quality Control, Aspen Plus. Experience: 5-7 Years."
Honeywell India,CAD Engineer,Bhopal,2018,M.Tech,Automobile Engineering,1-2 Years,"CNC Programming, SolidWorks, AutoCAD","Honeywell India is hiring a CAD Engineer for its Bhopal office. The role calls for a M.Tech in Automobile Engineering and hands-on knowledge of CNC Programming, SolidWorks, AutoCAD. Experience required: 1-2 Years."
Britannia Industries,Quality Engineer,Bhubaneswar,2020,B.Tech,Automobile Engineering,7-10 Years,"Six Sigma, SolidWorks, AutoCAD","Exciting opportunity for a Quality Engineer at Britannia Industries (Bhubaneswar). Applicants must be B.Tech graduates in Automobile Engineering, comfortable with Six Sigma, SolidWorks, AutoCAD, and have 7-10 Years of industry experience."
iGate,Data Analyst,Bangalore,2016,B.Tech,Data Science,10+ Years,"Machine Learning, Power BI, Pandas, Python","Exciting opportunity for a Data Analyst at iGate (Bangalore). Applicants must be B.Tech graduates in Data Science, comfortable with Machine Learning, Power BI, Pandas, Python, and have 10+ Years of industry experience."
CarDekho,System Engineer,Noida,2023,B.E.,Information Technology,0-2 Years,"Troubleshooting, Firewalls, VPN, Networking, Linux","Exciting opportunity for a System Engineer at CarDekho (Noida). Applicants must be B.E. graduates in Information Technology, comfortable with Troubleshooting, Firewalls, VPN, Networking, Linux, and have 0-2 Years of industry experience."
McKinsey & Company,SDET,Bhopal,2017,BCA,Information Technology,0-2 Years,"Selenium, JIRA, Load Testing","Join McKinsey & Company as a SDET in Bhopal! We need someone with a BCA in Information Technology, strong command of Selenium, JIRA, Load Testing, and 0-2 Years of relevant experience."
ONGC,Civil Engineer,Thiruvananthapuram,2023,M.Tech,Civil Engineering,2-4 Years,"Site Supervision, Primavera, Estimation & Costing","ONGC is expanding its Thiruvananthapuram team and seeking a Civil Engineer. A M.Tech in Civil Engineering is required along with working knowledge of Site Supervision, Primavera, Estimation & Costing. Experience: 2-4 Years."
Nvidia India,Technical Writer,Nashik,2019,MBA,General,7-10 Years,"Wireframing, Content Writing, Sketch, Illustrator","We are looking for a passionate Technical Writer to join Nvidia India in Nashik. Candidates should hold a MBA (General) and be skilled in Wireframing, Content Writing, Sketch, Illustrator. Experience level: 7-10 Years."
Vedanta Limited,Process Engineer,Ahmedabad,2020,B.E.,Petrochemical Engineering,Fresher,"Safety Management, Process Optimization, Process Design","Vedanta Limited has an opening for a Process Engineer based in Ahmedabad. The ideal candidate is a B.E. graduate in Petrochemical Engineering with proficiency in Safety Management, Process Optimization, Process Design. Required experience: Fresher."
1mg Technologies,QA Lead,Mysore,2022,B.Tech,Computer Science,7-10 Years,"Test Case Design, Load Testing, Postman, Selenium, TestNG","1mg Technologies has an opening for a QA Lead based in Mysore. The ideal candidate is a B.Tech graduate in Computer Science with proficiency in Test Case Design, Load Testing, Postman, Selenium, TestNG. Required experience: 7-10 Years."
Mahindra & Mahindra,Learning & Development Executive,Vijayawada,2021,PGDM,General Management,5-8 Years,"Payroll, Recruitment, HRMS, Communication, Performance Management","Join Mahindra & Mahindra as a Learning & Development Executive in Vijayawada! We need someone with a PGDM in General Management, strong command of Payroll, Recruitment, HRMS, Communication, Performance Management, and 5-8 Years of relevant experience."
Google India,SDET,Tirupati,2021,B.E.,Information Technology,7-10 Years,"Automation Testing, Postman, Test Case Design, API Testing, JUnit","We are looking for a passionate SDET to join Google India in Tirupati. Candidates should hold a B.E. (Information Technology) and be skilled in Automation Testing, Postman, Test Case Design, API Testing, JUnit. Experience level: 7-10 Years."
Google India,Embedded Systems Engineer,Ranchi,2024,Diploma,Electronics and Communication,3-5 Years,"SCADA, Power Systems, PLC, MATLAB","Join Google India as a Embedded Systems Engineer in Ranchi! We need someone with a Diploma in Electronics and Communication, strong command of SCADA, Power Systems, PLC, MATLAB, and 3-5 Years of relevant experience."
Titan Company,Python Developer,Mumbai,2019,B.Tech,Computer Science,1-3 Years,"REST APIs, Angular, HTML/CSS","Join Titan Company as a Python Developer in Mumbai! We need someone with a B.Tech in Computer Science, strong command of REST APIs, Angular, HTML/CSS, and 1-3 Years of relevant experience."
Hindustan Unilever,Electronics Engineer,Mohali,2026,B.Tech,Electronics and Communication,4-6 Years,"SCADA, MATLAB, PLC, Circuit Design","Exciting opportunity for a Electronics Engineer at Hindustan Unilever (Mohali). Applicants must be B.Tech graduates in Electronics and Communication, comfortable with SCADA, MATLAB, PLC, Circuit Design, and have 4-6 Years of industry experience."
Wipro,Sales Executive,Pune,2025,BBA,Marketing,Fresher,"Market Research, Negotiation, Salesforce, Lead Generation, Content Marketing","Join Wipro as a Sales Executive in Pune! We need someone with a BBA in Marketing, strong command of Market Research, Negotiation, Salesforce, Lead Generation, Content Marketing, and Fresher of relevant experience."
Pidilite Industries,Maintenance Engineer,Gandhinagar,2026,B.Tech,Production Engineering,0-1 Years,"AutoCAD, SolidWorks, PLM, Product Design, CATIA","We are looking for a passionate Maintenance Engineer to join Pidilite Industries in Gandhinagar. Candidates should hold a B.Tech (Production Engineering) and be skilled in AutoCAD, SolidWorks, PLM, Product Design, CATIA. Experience level: 0-1 Years."
ONGC,Customer Support Executive,Bhopal,2025,BBA,Management,3-5 Years,"MS Office, Problem Solving, Customer Service, Communication, Email Etiquette","ONGC has an opening for a Customer Support Executive based in Bhopal. The ideal candidate is a BBA graduate in Management with proficiency in MS Office, Problem Solving, Customer Service, Communication, Email Etiquette. Required experience: 3-5 Years."
EY India,Finance Analyst,Ahmedabad,2018,CMA,Financial Management,1-2 Years,"Excel, SAP, Tally, Accounting Standards","Exciting opportunity for a Finance Analyst at EY India (Ahmedabad). Applicants must be CMA graduates in Financial Management, comfortable with Excel, SAP, Tally, Accounting Standards, and have 1-2 Years of industry experience."
Subex,Test Engineer,Jaipur,2025,B.Tech,Computer Science,0-2 Years,"Load Testing, JUnit, Automation Testing, JIRA, Manual Testing","Join Subex as a Test Engineer in Jaipur! We need someone with a B.Tech in Computer Science, strong command of Load Testing, JUnit, Automation Testing, JIRA, Manual Testing, and 0-2 Years of relevant experience."
Cisco India,Site Engineer,Hyderabad,2016,B.Tech,Civil Engineering,10+ Years,"MS Project, Revit, AutoCAD, Estimation & Costing, Surveying","Exciting opportunity for a Site Engineer at Cisco India (Hyderabad). Applicants must be B.Tech graduates in Civil Engineering, comfortable with MS Project, Revit, AutoCAD, Estimation & Costing, Surveying, and have 10+ Years of industry experience."
Cipla,Site Reliability Engineer,Guwahati,2026,B.Tech,Information Technology,5-7 Years,"Monitoring Tools, Ansible, Jenkins","Join Cipla as a Site Reliability Engineer in Guwahati! We need someone with a B.Tech in Information Technology, strong command of Monitoring Tools, Ansible, Jenkins, and 5-7 Years of relevant experience."
Bharat Electronics,Construction Manager,Bhopal,2021,B.E.,Construction Technology,0-1 Years,"AutoCAD, Surveying, MS Project, Estimation & Costing","Exciting opportunity for a Construction Manager at Bharat Electronics (Bhopal). Applicants must be B.E. graduates in Construction Technology, comfortable with AutoCAD, Surveying, MS Project, Estimation & Costing, and have 0-1 Years of industry experience."
JSW Energy,Marketing Manager,Pune,2022,MBA,Sales,2-3 Years,"Market Research, Google Ads, Lead Generation, SEO, Salesforce","We are looking for a passionate Marketing Manager to join JSW Energy in Pune. Candidates should hold a MBA (Sales) and be skilled in Market Research, Google Ads, Lead Generation, SEO, Salesforce. Experience level: 2-3 Years."
Salesforce India,Recruiter,Gurgaon,2019,MBA,HR Management,2-4 Years,"HR Policies, Recruitment, Payroll, Employee Engagement","Salesforce India has an opening for a Recruiter based in Gurgaon. The ideal candidate is a MBA graduate in HR Management with proficiency in HR Policies, Recruitment, Payroll, Employee Engagement. Required experience: 2-4 Years."
Newgen Software,System Engineer,Multiple Locations,2018,BCA,Information Technology,5-7 Years,"TCP/IP, Windows Server, VPN, Firewalls, CCNA","Newgen Software is hiring a System Engineer for its Multiple Locations office. The role calls for a BCA in Information Technology and hands-on knowledge of TCP/IP, Windows Server, VPN, Firewalls, CCNA. Experience required: 5-7 Years."
BigBasket,Marketing Manager,Guwahati,2017,BBA,Sales,2-3 Years,"SEO, Negotiation, Google Ads, Social Media Marketing, Salesforce","Exciting opportunity for a Marketing Manager at BigBasket (Guwahati). Applicants must be BBA graduates in Sales, comfortable with SEO, Negotiation, Google Ads, Social Media Marketing, Salesforce, and have 2-3 Years of industry experience."
Nokia India,Infrastructure Engineer,Kolkata,2026,B.E.,Computer Science,10+ Years,"Terraform, GCP, Monitoring Tools, CI/CD","Exciting opportunity for a Infrastructure Engineer at Nokia India (Kolkata). Applicants must be B.E. graduates in Computer Science, comfortable with Terraform, GCP, Monitoring Tools, CI/CD, and have 10+ Years of industry experience."
Intel India,HR Business Partner,Ranchi,2020,MBA,General Management,8-12 Years,"Talent Management, Recruitment, Onboarding, Employee Engagement","Exciting opportunity for a HR Business Partner at Intel India (Ranchi). Applicants must be MBA graduates in General Management, comfortable with Talent Management, Recruitment, Onboarding, Employee Engagement, and have 8-12 Years of industry experience."
Trent Limited,CAD Engineer,Kolkata,2026,Diploma,Mechanical Engineering,7-10 Years,"AutoCAD, SolidWorks, CATIA","We are looking for a passionate CAD Engineer to join Trent Limited in Kolkata. Candidates should hold a Diploma (Mechanical Engineering) and be skilled in AutoCAD, SolidWorks, CATIA. Experience level: 7-10 Years."
Motorola Solutions India,IT Support Engineer,Nashik,2025,B.Tech,Computer Science,5-8 Years,"Troubleshooting, Networking, Cybersecurity","Join Motorola Solutions India as a IT Support Engineer in Nashik! We need someone with a B.Tech in Computer Science, strong command of Troubleshooting, Networking, Cybersecurity, and 5-8 Years of relevant experience."
Cure.fit,Quality Engineer,Gurgaon,2019,Diploma,Automobile Engineering,2-4 Years,"CATIA, GD&T, Ansys, Product Design","Cure.fit has an opening for a Quality Engineer based in Gurgaon. The ideal candidate is a Diploma graduate in Automobile Engineering with proficiency in CATIA, GD&T, Ansys, Product Design. Required experience: 2-4 Years."
Apollo Hospitals,Structural Engineer,Nagpur,2016,M.Tech,Construction Technology,Fresher,"Project Management, MS Project, AutoCAD, Revit","Apollo Hospitals is expanding its Nagpur team and seeking a Structural Engineer. A M.Tech in Construction Technology is required along with working knowledge of Project Management, MS Project, AutoCAD, Revit. Experience: Fresher."
Genpact,Electronics Engineer,Bangalore / Hyderabad,2017,M.Tech,Electrical Engineering,5-8 Years,"Microcontrollers, MATLAB, Power Systems, SCADA, Embedded C","Exciting opportunity for a Electronics Engineer at Genpact (Bangalore / Hyderabad). Applicants must be M.Tech graduates in Electrical Engineering, comfortable with Microcontrollers, MATLAB, Power Systems, SCADA, Embedded C, and have 5-8 Years of industry experience."
Mphasis,Technical Writer,Vadodara,2022,BCA,Design,0-2 Years,"Illustrator, Prototyping, Figma","Exciting opportunity for a Technical Writer at Mphasis (Vadodara). Applicants must be BCA graduates in Design, comfortable with Illustrator, Prototyping, Figma, and have 0-2 Years of industry experience."
Persistent Systems,Mechanical Engineer,Tirupati,2020,B.Tech,Automobile Engineering,1-2 Years,"CATIA, SolidWorks, AutoCAD, PLM, Ansys","Persistent Systems is expanding its Tirupati team and seeking a Mechanical Engineer. A B.Tech in Automobile Engineering is required along with working knowledge of CATIA, SolidWorks, AutoCAD, PLM, Ansys. Experience: 1-2 Years."
